pl_name,pl_rade,pl_bmasse,pl_disc,rowupdate,gravity
HD 13189 b,,4400.00000,2005,2014-05-14,NaN
HD 164922 b,,114.41400,2005,2014-05-14,NaN
HD 118203 b,,677.00000,2005,2014-05-14,NaN
HD 102117 b,,54.66400,2005,2014-05-14,NaN
GJ 581 c,,5.50000,2005,2014-07-09,NaN
GJ 581 b,,15.80000,2005,2014-07-09,NaN
GJ 581 e,,1.70000,2005,2014-07-09,NaN
HD 99109 b,,159.50000,2005,2014-07-23,NaN
HD 66428 b,,896.20000,2005,2014-07-23,NaN
HD 190360 c,,19.06900,2005,2014-08-21,NaN
GJ 876 d,,6.83000,2005,2014-08-27,NaN
HD 149026 b,9.113,116.95700,2005,2014-10-15,1.41
OGLE 2005-BLG-390L b,,5.50000,2005,2014-10-29,NaN
OGLE 2005-BLG-71L b,,1207.70000,2005,2014-10-29,NaN
HD 2638 b,,152.55000,2005,2014-11-19,NaN
HD 33564 b,,2892.10000,2005,2014-12-03,NaN
HD 4308 b,,14.04750,2005,2014-12-03,NaN
HD 50499 b,,543.47000,2005,2014-12-17,NaN
HD 37124 d,,209.76000,2005,2014-12-17,NaN
HD 63454 b,12.310,126.00000,2005,2015-03-26,1
HD 81040 b,,2180.31380,2005,2015-04-16,NaN
HD 27894 b,,205.00000,2005,2015-04-16,NaN
HIP 14810 b,,1233.18040,2005,2015-05-14,NaN
HD 128311 c,,1204.25787,2005,2015-06-25,NaN
CHXR 73 b,,3994.48600,2006,2014-05-14,NaN
HN Peg b,11.777,6991.57000,2006,2014-05-14,50.43
HD 154345 b,,300.97200,2006,2014-05-14,NaN
Oph 11 b,,6674.15000,2006,2014-05-14,NaN
HD 24040 b,,1274.44000,2006,2014-05-14,NaN
HD 159868 b,,667.41000,2006,2014-05-14,NaN
HD 10647 b,,298.75000,2006,2014-05-14,NaN
4 UMa b,,2256.50000,2006,2014-05-14,NaN
SWEEPS-4 b,9.079,1207.70000,2006,2014-05-14,14.66
SWEEPS-11 b,12.666,3082.82000,2006,2014-05-14,19.23
XO-1 b,13.563,292.39100,2006,2014-05-14,1.59
HD 203030 b,,7656.09700,2006,2014-05-14,NaN
HD 102195 b,,143.02000,2006,2014-05-14,NaN
eps Tau b,,2415.40600,2006,2014-05-14,NaN
HD 185269 b,,298.75000,2006,2014-07-23,NaN
HD 187085 b,,238.36000,2006,2014-07-23,NaN
HD 160691 e,,165.86850,2006,2014-08-21,NaN
GJ 849 b,,289.21000,2006,2014-08-27,NaN
HD 20782 b,,232.01000,2006,2014-09-25,NaN
HD 33283 b,,104.88000,2006,2014-11-19,NaN
HD 23127 b,,476.70000,2006,2014-11-19,NaN
HD 224693 b,,225.65000,2006,2014-11-19,NaN
HD 69830 b,,10.20000,2006,2015-03-26,NaN
HD 62509 b,,731.00000,2006,2015-03-26,NaN
HD 69830 c,,11.80000,2006,2015-03-26,NaN
HD 69830 d,,18.10000,2006,2015-03-26,NaN
HD 86081 b,,476.74500,2006,2015-04-16,NaN
HIP 14810 c,,406.82240,2006,2015-05-14,NaN
HAT-P-1 b,14.785,166.86075,2006,2015-09-10,1
TrES-2 b,13.978,380.44251,2006,2015-10-15,1.95
OGLE 2005-BLG-169L b,,14.10000,2006,2015-11-19,NaN
HAT-P-5 b,14.120,336.89000,2007,2014-05-14,1.69
HD 81688 b,,858.10000,2007,2014-05-14,NaN
HD 100777 b,,368.67000,2007,2014-05-14,NaN
HD 125612 b,,968.00000,2007,2014-05-14,NaN
CT Cha b,24.660,5403.00000,2007,2014-05-14,8.89
WASP-1 b,16.623,271.41500,2007,2014-05-14,1
WASP-3 b,14.500,559.35700,2007,2014-05-14,2.66
HD 155358 b,,270.00000,2007,2014-05-14,NaN
HD 190647 b,,603.85000,2007,2014-05-14,NaN
GJ 674 b,,11.09000,2007,2014-05-14,NaN
HD 155358 c,,261.00000,2007,2014-05-14,NaN
XO-3 b,13.641,3747.06000,2007,2014-05-14,20.15
HD 132406 b,,1782.95100,2007,2014-05-14,NaN
TrES-3 b,14.975,607.03000,2007,2014-05-14,2.71
HAT-P-6 b,14.908,335.93200,2007,2014-05-14,1.51
TrES-4 b,20.165,292.07300,2007,2014-05-14,1
HAT-P-4 b,14.280,213.25500,2007,2014-05-14,1.05
HD 219828 b,,19.80000,2007,2014-05-14,NaN
HD 221287 b,,982.05000,2007,2014-05-14,NaN
Lupus-TR-3 b,9.976,257.43100,2007,2014-05-14,2.59
HD 156846 b,,3359.32000,2007,2014-05-14,NaN
11 Com b,,6165.60000,2007,2014-05-14,NaN
HAT-P-3 b,9.270,187.83000,2007,2014-05-14,2.19
xi Aql b,,890.00000,2007,2014-05-14,NaN
OGLE-TR-182 b,12.666,320.99500,2007,2014-05-14,2.00
HAT-P-2 b,12.969,2888.95000,2007,2014-05-14,17.18
HD 167042 b,,540.29000,2007,2014-05-14,NaN
OGLE-TR-211 b,15.244,327.35100,2007,2014-05-14,1.41
HD 170469 b,,212.94000,2007,2014-07-02,NaN
HD 17092 b,,1462.00000,2007,2014-07-02,NaN
HD 171028 b,,629.28000,2007,2014-07-02,NaN
HD 175541 b,,193.87000,2007,2014-07-09,NaN
HD 192699 b,,762.76000,2007,2014-08-21,NaN
HD 196885 b,,819.97000,2007,2014-08-21,NaN
GJ 317 b,,794.50000,2007,2014-08-27,NaN
55 Cnc f,,44.81200,2007,2014-10-29,NaN
WASP-2 b,12.005,290.80200,2007,2014-10-29,2.02
HD 17156 b,11.430,1023.37000,2007,2014-10-29,7.84
HD 231701 b,,343.24000,2007,2014-11-19,NaN
HD 5319 b,,559.36000,2007,2014-12-03,NaN
HD 4113 b,,495.79000,2007,2014-12-03,NaN
HD 11506 b,,1338.01000,2007,2014-12-03,NaN
XO-2 N b,11.422,189.73700,2007,2015-01-22,1.46
HD 43691 b,,791.36000,2007,2015-01-22,NaN
HD 70573 b,,1900.00000,2007,2015-03-26,NaN
HD 75898 b,,797.75330,2007,2015-04-16,NaN
V0391 Peg b,,1017.05600,2007,2015-05-14,NaN
BD-13 2130 b,,3368.99800,2007,2015-05-14,NaN
NGC 4349 127 b,,6293.03400,2007,2015-05-14,NaN
WASP-4 b,14.908,386.48128,2007,2015-08-27,1.74
