kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
Kepler-106 d,CONFIRMED,Active,008/008395/008395660/dv/kplr008395660-003-20141002224145_dvs.pdf,2015-09-18
Kepler-235 c,CONFIRMED,Active,004/004139/004139816/dv/kplr004139816-004-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004275/004275191/dv/kplr004275191-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004476/004476123/dv/kplr004476123-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003351/003351888/dv/kplr003351888-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003453/003453214/dv/kplr003453214-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003554/003554600/dv/kplr003554600-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003641/003641726/dv/kplr003641726-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003734/003734868/dv/kplr003734868-001-20141002224145_dvs.pdf,2015-09-18
Kepler-30 d,CONFIRMED,Active,003/003832/003832474/dv/kplr003832474-002-20141002224145_dvs.pdf,2015-09-18
Kepler-106 b,CONFIRMED,Active,008/008395/008395660/dv/kplr008395660-004-20141002224145_dvs.pdf,2015-09-18
Kepler-30 c,CONFIRMED,Active,003/003832/003832474/dv/kplr003832474-001-20141002224145_dvs.pdf,2015-09-18
Kepler-30 b,CONFIRMED,Active,,2014-12-04
,FALSE POSITIVE,Active,003/003836/003836375/dv/kplr003836375-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003838/003838486/dv/kplr003838486-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003935/003935914/dv/kplr003935914-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003940/003940418/dv/kplr003940418-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004049/004049131/dv/kplr004049131-001-20141002224145_dvs.pdf,2015-09-18
Kepler-235 b,CONFIRMED,Active,004/004139/004139816/dv/kplr004139816-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005287/005287983/dv/kplr005287983-001-20141002224145_dvs.pdf,2015-09-18
Kepler-53 b,CONFIRMED,Active,005/005358/005358241/dv/kplr005358241-001-20141002224145_dvs.pdf,2015-09-18
Kepler-107 c,CONFIRMED,Active,010/010875/010875245/dv/kplr010875245-003-20141002224145_dvs.pdf,2015-09-18
Kepler-53 d,CONFIRMED,Active,005/005358/005358241/dv/kplr005358241-003-20141002224145_dvs.pdf,2015-09-18
Kepler-53 c,CONFIRMED,Active,005/005358/005358241/dv/kplr005358241-002-20141002224145_dvs.pdf,2015-09-18
Kepler-428 b,CONFIRMED,Active,005/005358/005358624/dv/kplr005358624-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004544/004544670/dv/kplr004544670-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004664/004664847/dv/kplr004664847-001-20141002224145_dvs.pdf,2015-09-18
Kepler-236 c,CONFIRMED,Active,004/004725/004725681/dv/kplr004725681-001-20141002224145_dvs.pdf,2015-09-18
Kepler-236 b,CONFIRMED,Active,004/004725/004725681/dv/kplr004725681-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004913/004913852/dv/kplr004913852-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004932/004932348/dv/kplr004932348-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004936/004936180/dv/kplr004936180-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,011/011913/011913073/dv/kplr011913073-001-20141002224145_dvs.pdf,2015-09-18
Kepler-107 e,CONFIRMED,Active,010/010875/010875245/dv/kplr010875245-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005021/005021899/dv/kplr005021899-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005077/005077629/dv/kplr005077629-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,,2014-12-04
,CANDIDATE,Active,005/005164/005164255/dv/kplr005164255-001-20141002224145_dvs.pdf,2015-09-18
Kepler-237 c,CONFIRMED,Active,005/005252/005252423/dv/kplr005252423-001-20141002224145_dvs.pdf,2015-09-18
Kepler-237 b,CONFIRMED,Active,005/005252/005252423/dv/kplr005252423-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005272/005272878/dv/kplr005272878-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005283/005283542/dv/kplr005283542-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005649/005649215/dv/kplr005649215-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005651/005651104/dv/kplr005651104-001-20141002224145_dvs.pdf,2015-09-18
